Co molar ratio,Mn molar ratio,Fe molar ratio,Ni molar ratio,I (mA/cm2),FE (%),stability (-)
1.0,0.0,0.0,0.0,31.44,59.63,0.95
0.9,0.1,0.0,0.0,31.31,64.54,0.97
0.9,0.0,0.1,0.0,32.75,59.77,0.95
0.9,0.0,0.0,0.1,31.56,54.57,0.96
0.8,0.2,0.0,0.0,31.02,61.74,1.00
0.8,0.1,0.1,0.0,33.19,62.53,0.98
0.8,0.1,0.0,0.1,29.77,63.11,0.99
0.8,0.0,0.2,0.0,30.01,65.78,0.95
0.8,0.0,0.1,0.1,32.96,58.68,0.96
0.8,0.0,0.0,0.2,30.40,64.91,0.98
0.7,0.3,0.0,0.0,29.40,45.11,1.01
0.7,0.2,0.1,0.0,30.90,58.40,1.00
0.7,0.2,0.0,0.1,29.94,54.34,1.00
0.7,0.1,0.2,0.0,31.60,63.53,0.99
0.7,0.1,0.1,0.1,31.77,46.32,0.99
0.7,0.1,0.0,0.2,30.90,64.17,0.99
0.7,0.0,0.3,0.0,32.50,53.02,0.99
0.7,0.0,0.2,0.1,33.48,58.84,0.97
0.7,0.0,0.1,0.2,31.98,60.45,0.99
0.7,0.0,0.0,0.3,30.00,59.21,0.98
0.6,0.4,0.0,0.0,24.92,34.65,1.03
0.6,0.3,0.1,0.0,29.48,58.34,1.01
0.6,0.3,0.0,0.1,26.44,58.16,1.00
0.6,0.2,0.2,0.0,30.77,63.88,1.00
0.6,0.2,0.1,0.1,30.00,52.45,0.99
0.6,0.2,0.0,0.2,29.31,61.70,0.99
0.6,0.1,0.3,0.0,31.21,65.96,1.00
0.6,0.1,0.2,0.1,31.69,50.72,0.99
0.6,0.1,0.1,0.2,31.52,47.02,0.99
0.6,0.1,0.0,0.3,31.25,57.23,0.99
0.6,0.0,0.4,0.0,32.30,62.42,1.00
0.6,0.0,0.3,0.1,32.90,67.98,1.00
0.6,0.0,0.2,0.2,31.08,64.97,0.99
0.6,0.0,0.1,0.3,31.94,63.45,1.01
0.6,0.0,0.0,0.4,31.42,61.19,0.97
0.5,0.5,0.0,0.0,25.21,16.25,1.02
0.5,0.4,0.1,0.0,28.13,23.51,1.02
0.5,0.4,0.0,0.1,27.35,25.87,1.01
0.5,0.3,0.2,0.0,28.75,59.90,1.02
0.5,0.3,0.1,0.1,28.79,47.55,1.00
0.5,0.3,0.0,0.2,27.85,50.78,1.00
0.5,0.2,0.3,0.0,29.85,62.10,1.02
0.5,0.2,0.2,0.1,30.00,52.07,1.00
0.5,0.2,0.1,0.2,29.54,51.78,1.02
0.5,0.2,0.0,0.3,30.19,58.72,0.98
0.5,0.1,0.4,0.0,31.17,59.53,1.02
0.5,0.1,0.3,0.1,31.10,57.12,1.01
0.5,0.1,0.2,0.2,30.79,46.06,1.00
0.5,0.1,0.1,0.3,31.19,58.77,1.00
0.5,0.1,0.0,0.4,30.52,53.20,0.99
0.5,0.0,0.5,0.0,31.15,70.94,1.02
0.5,0.0,0.4,0.1,31.96,65.48,1.01
0.5,0.0,0.3,0.2,32.29,56.31,1.00
0.5,0.0,0.2,0.3,32.25,59.99,1.03
0.5,0.0,0.1,0.4,31.75,57.53,0.99
0.5,0.0,0.0,0.5,31.19,60.30,0.97
0.4,0.6,0.0,0.0,23.52,16.23,1.02
0.4,0.5,0.1,0.0,26.44,21.97,1.03
0.4,0.5,0.0,0.1,24.75,12.96,1.02
0.4,0.4,0.2,0.0,25.76,42.96,1.02
0.4,0.4,0.1,0.1,25.75,34.43,1.00
0.4,0.4,0.0,0.2,21.94,30.70,1.01
